
============================================================
compandit library quikie program
M. A. Chatterjee (c) 2012

These routines were developed for use on embedded projects
for more info see the accompanying compand.txt

 index   wave  actDCbias  calcDCbias  calcDCbias(f) alaw
   500   1964     1923       1938      1938.9062     -44
   501   1966     1923       1939      1939.0000     -44
   502   1968     1923       1939      1939.1094     -44
   503   1970     1923       1939      1939.2188     -44
   504   1972     1923       1939      1939.3438     -41
   505   1974     1923       1939      1939.4688     -41
   506   1976     1923       1939      1939.6094     -41
   507   1978     1923       1939      1939.7500     -41
   508   1980     1923       1939      1939.9062     -41
   509   1982     1923       1940      1940.0625     -41
   510   1984     1923       1940      1940.2188     -41
   511   1986     1923       1940      1940.3906     -41
   512   1860     1923       1940      1940.0625      80
   513   1862     1923       1939      1939.7500      81
   514   1864     1923       1939      1939.4531      81
   515   1866     1923       1939      1939.1562      81
   516   1868     1923       1938      1938.8750      81
   517   1870     1923       1938      1938.5938      81
   518   1872     1923       1938      1938.3281      81
   519   1874     1923       1938      1938.0625      81
   520   1876     1923       1937      1937.8125      86
   521   1878     1923       1937      1937.5781      86
   522   1880     1923       1937      1937.3438      86
   523   1882     1923       1937      1937.1250      86
   524   1884     1923       1936      1936.9062      86
   525   1886     1923       1936      1936.7031      86
   526   1888     1923       1936      1936.5000      86
   527   1890     1923       1936      1936.3125      87
   528   1892     1923       1936      1936.1250      87
   529   1894     1923       1935      1935.9531      87
   530   1896     1923       1935      1935.7969      87
   531   1898     1923       1935      1935.6406      87
   532   1900     1923       1935      1935.5000      87
   533   1902     1923       1935      1935.3594      87
   534   1904     1923       1935      1935.2344      84
   535   1906     1923       1935      1935.1094      84
   536   1908     1923       1935      1935.0000      84
   537   1910     1923       1934      1934.8906      84
   538   1912     1923       1934      1934.7969      84
   539   1914     1923       1934      1934.7031      84
   540   1916     1923       1934      1934.6250      84
   541   1918     1923       1934      1934.5469      84
   542   1920     1923       1934      1934.4844      85
   543   1922     1923       1934      1934.4219      85
   544   1924     1923       1934      1934.3750      85
   545   1926     1923       1934      1934.3281      85
   546   1928     1923       1934      1934.2969      85
   547   1930     1923       1934      1934.2656      85
   548   1932     1923       1934      1934.2500      85
   549   1934     1923       1934      1934.2344     -43
   550   1936     1923       1934      1934.2344     -43
   551   1938     1923       1934      1934.2344     -43
   552   1940     1923       1934      1934.2500     -43
   553   1942     1923       1934      1934.2656     -43
   554   1944     1923       1934      1934.2969     -43
   555   1946     1923       1934      1934.3281     -43
   556   1948     1923       1934      1934.3750     -43
   557   1950     1923       1934      1934.4219     -44
   558   1952     1923       1934      1934.4844     -44
   559   1954     1923       1934      1934.5469     -44
   560   1956     1923       1934      1934.6250     -44
   561   1958     1923       1934      1934.7031     -44
   562   1960     1923       1934      1934.7969     -44
   563   1962     1923       1934      1934.8906     -44
   564   1964     1923       1935      1935.0000     -44
   565   1966     1923       1935      1935.1094     -44
   566   1968     1923       1935      1935.2344     -41
   567   1970     1923       1935      1935.3594     -41
   568   1972     1923       1935      1935.5000     -41
   569   1974     1923       1935      1935.6406     -41
   570   1976     1923       1935      1935.7969     -41
   571   1978     1923       1935      1935.9531     -41
   572   1980     1923       1936      1936.1250     -41
   573   1982     1923       1936      1936.2969     -41
   574   1984     1923       1936      1936.4688     -42
   575   1986     1923       1936      1936.6562     -42
   576   1860     1923       1936      1936.3438      81
   577   1862     1923       1936      1936.0469      81
   578   1864     1923       1935      1935.7500      81
   579   1866     1923       1935      1935.4688      81
   580   1868     1923       1935      1935.2031      81
   581   1870     1923       1934      1934.9375      81
   582   1872     1923       1934      1934.6875      86
   583   1874     1923       1934      1934.4375      86
   584   1876     1923       1934      1934.2031      86
   585   1878     1923       1933      1933.9688      86
   586   1880     1923       1933      1933.7500      86
   587   1882     1923       1933      1933.5469      86
   588   1884     1923       1933      1933.3438      86
   589   1886     1923       1933      1933.1562      87
   590   1888     1923       1932      1932.9688      87
   591   1890     1923       1932      1932.7969      87
   592   1892     1923       1932      1932.6250      87
   593   1894     1923       1932      1932.4688      87
   594   1896     1923       1932      1932.3125      87
